sample_name	year	period	site	specimen	color_p	color_s	type	plate	quant_reading
GBP23051601M_ITS_P96	23	p05	s16	01M	#7AD151FF	#FCFFA4FF	sample	P96	3181
GBP23051602M_ITS_P96	23	p05	s16	02M	#7AD151FF	#FCFFA4FF	sample	P96	6786
GBP23051603M_ITS_P96	23	p05	s16	03M	#7AD151FF	#FCFFA4FF	sample	P96	324
GBP23060101M_ITS_P96	23	p06	s01	01M	#FDE725FF	#000004FF	sample	P96	955
GBP23060102M_ITS_P96	23	p06	s01	02M	#FDE725FF	#000004FF	sample	P96	17865
GBP23060103M_ITS_P48	23	p06	s01	03M	#FDE725FF	#000004FF	sample	P48	568
GBP23060104M_ITS_P48	23	p06	s01	04M	#FDE725FF	#000004FF	sample	P48	37293
GBP23060105M_ITS_P48	23	p06	s01	05M	#FDE725FF	#000004FF	sample	P48	12319
GBP23060201M_ITS_P48	23	p06	s02	01M	#FDE725FF	#0C0826FF	sample	P48	53843
GBP23060202M_ITS_P48	23	p06	s02	02M	#FDE725FF	#0C0826FF	sample	P48	826
GBP23060203M_ITS_P96	23	p06	s02	03M	#FDE725FF	#0C0826FF	sample	P96	71235
GBP23060204M_ITS_P48	23	p06	s02	04M	#FDE725FF	#0C0826FF	sample	P48	10384
GBP23060205M_ITS_P48	23	p06	s02	05M	#FDE725FF	#0C0826FF	sample	P48	23607
GBP23060301M_ITS_P48	23	p06	s03	01M	#FDE725FF	#240C4FFF	sample	P48	191964
GBP23060302M_ITS_P48	23	p06	s03	02M	#FDE725FF	#240C4FFF	sample	P48	93785
GBP23060303M_ITS_P96	23	p06	s03	03M	#FDE725FF	#240C4FFF	sample	P96	2554
GBP23060304M_ITS_P96	23	p06	s03	04M	#FDE725FF	#240C4FFF	sample	P96	1486
GBP23060305M_ITS_P48	23	p06	s03	05M	#FDE725FF	#240C4FFF	sample	P48	35867
GBP23060401M_ITS_P96	23	p06	s04	01M	#FDE725FF	#420A68FF	sample	P96	636
GBP23060402M_ITS_P96	23	p06	s04	02M	#FDE725FF	#420A68FF	sample	P96	4491
GBP23060403M_ITS_P48	23	p06	s04	03M	#FDE725FF	#420A68FF	sample	P48	5110
GBP23060404M_ITS_P96	23	p06	s04	04M	#FDE725FF	#420A68FF	sample	P96	27959
GBP23060501M_ITS_P48	23	p06	s05	01M	#FDE725FF	#5D126EFF	sample	P48	134187
GBP23060701M_ITS_P96	23	p06	s07	01M	#FDE725FF	#932667FF	sample	P96	19983
GBP23060801M_ITS_P96	23	p06	s08	01M	#FDE725FF	#AE305CFF	sample	P96	2248
GBP23060901M_ITS_P48	23	p06	s09	01M	#FDE725FF	#C73E4CFF	sample	P48	193
GBP23061001M_ITS_P48	23	p06	s10	01M	#FDE725FF	#DD513AFF	sample	P48	38145
