	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_333	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	NA
ASV_334	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Veronica	NA
ASV_335	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	NA
ASV_336	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_337	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Pulmonaria	NA
ASV_338	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	NA
ASV_339	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	NA
ASV_340	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Plantago	NA
ASV_341	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Erica	NA
ASV_342	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Leucanthemum	vulgare
ASV_343	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_344	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_345	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_346	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Veronica	NA
ASV_347	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_348	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	NA
ASV_349	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Glandora	NA
ASV_350	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Lamiaceae	Prunella	NA
ASV_351	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Veronica	NA
ASV_352	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Anemone	NA
ASV_353	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Taraxacum	NA
ASV_354	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Anemone	NA
ASV_355	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Pilosella	NA
ASV_356	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Ranunculus	NA
ASV_357	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	NA
ASV_358	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_359	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	NA
ASV_360	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	NA	NA
ASV_361	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Orobanchaceae	Rhinanthus	NA
ASV_362	Viridiplantae	Streptophyta	Magnoliopsida	NA	NA	NA	NA
ASV_363	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	NA
ASV_364	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Erucastrum	NA
ASV_365	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabis	NA
ASV_366	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Spartina	NA
ASV_367	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Linaria	NA
ASV_368	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	NA
ASV_369	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	NA
ASV_370	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Daboecia	NA
ASV_371	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	NA
ASV_372	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Anemone	NA
ASV_373	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	NA
ASV_374	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	NA
ASV_375	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	NA
ASV_376	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	NA
ASV_377	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Crataegus	monogyna/nigra
ASV_378	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_379	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	NA
ASV_380	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_381	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Chaerophyllum	NA
ASV_382	Viridiplantae	Streptophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	Dioscorea	NA
ASV_383	Viridiplantae	Streptophyta	Magnoliopsida	NA	NA	NA	NA
ASV_384	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	NA
ASV_385	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Erica	NA
ASV_386	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_387	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Veronica	NA
ASV_388	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	NA	NA	NA
ASV_389	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	NA
ASV_390	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Veronica	NA
ASV_391	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	NA
ASV_392	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Digitalis	NA
ASV_393	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Erica	NA
ASV_394	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Lolium	perenne/temulentum
ASV_395	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Lamiaceae	Ajuga	NA
ASV_396	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	NA
ASV_397	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	NA
ASV_398	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_399	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_400	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Ulex	NA
