"";"sample";"year";"period";"site";"specimen";"color_p";"color_s";"type";"plate";"quant_reading";"is.neg";"Abelmoschus";"Achillea";"Aconitum";"Actinidia";"Aegilops";"Aegonychon";"Agrostis";"Ajuga";"Allium";"Alnus";"Anagallis";"Anemone";"Anthoxanthum";"Anthyllis";"Arabis";"Arenaria";"Arrhenatherum";"Bellis";"Betula";"Brachypodium";"Brassica";"Caltha";"Campanula";"Cardamine";"Carduus";"Carex";"Castanea";"Chaerophyllum";"Chrysosplenium";"Cirsium";"Citrus";"Clematis";"Clinopodium";"Colocasia";"Conium";"Crataegus";"Crepis";"Cucumis";"Daboecia";"Dactylis";"Digitalis";"Echium";"Erica";"Erinus";"Erodium";"Erucastrum";"Eryngium";"Erysimum";"Erythronium";"Eucalyptus";"Fagus";"Festuca";"Galium";"Genista";"Gentiana";"Geranium";"Glandora";"Glechoma";"Globularia";"Helianthemum";"Helleborus";"Herniaria";"Hieracium";"Hippocrepis";"Holcus";"Hypericum";"Hypochaeris";"Iberis";"Ilex";"Jasione";"Juglans";"Lamium";"Lathraea";"Lathyrus";"Leontodon";"Leucanthemum";"Linaria";"Linum";"Lithodora";"Lolium";"Lotus";"Melampyrum";"Myosotis";"Narcissus";"Oxalis";"Parietaria";"Pedicularis";"Pilosella";"Pinguicula";"Plantago";"Platanus";"Pleuropterus";"Poa";"Polygala";"Potentilla";"Primula";"Pritzelago";"Prunella";"Prunus";"Pulmonaria";"Pyrus";"Quercus";"Ranunculus";"Raphanus";"Rhinanthus";"Robinia";"Rosa";"Rubus";"Salix";"Sambucus";"Scrophularia";"Sedum";"Sideritis";"Silybum";"Sisymbrium";"Solanum";"Stellaria";"Symphytum";"Taraxacum";"Teucrium";"Thymus";"Tornabenea";"Tragopogon";"Trifolium";"Tripleurospermum";"Ulex";"Urtica";"Vaccinium";"Veronica";"Vicia";"Viola"
"24";"GBP23020602M_ITS_P96";23;2;6;"02M";"#414487FF";"#781C6DFF";"sample";"P96";20;FALSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;8
"25";"GBP23020701M_ITS_P96";23;2;7;"01M";"#414487FF";"#932667FF";"sample";"P96";28009;FALSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;523;0;0;0;0;0;0;0;0;0;0;3246;0;0;0;0;0;0;0;0;71;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2040;0;0;0;0;0;0;0;0;407;0;39;8832
"26";"GBP23020801M_ITS_P96";23;2;8;"01M";"#414487FF";"#AE305CFF";"sample";"P96";28028;FALSE;0;0;0;0;0;0;0;0;0;0;0;680;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148;0;0;0;0;0;0;4;0;0;0;0;0;27;8;0;0;0;0;0;0;0;0;0;0;19;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;17;0;0;0;0;0;0;0;0;777;0;122;0
"27";"GBP23020802M_ITS_P96";23;2;8;"02M";"#414487FF";"#AE305CFF";"sample";"P96";141;FALSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"28";"GBP23020901M_ITS_P48";23;2;9;"01M";"#414487FF";"#C73E4CFF";"sample";"P48";19893;FALSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;56;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;8;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;27;0;0;0;475;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;12;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;9;0;0;10;49;16132
"29";"GBP23020902M_ITS_P96";23;2;9;"02M";"#414487FF";"#C73E4CFF";"sample";"P96";3779;FALSE;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;555;0;0;0;0;0;0;0;0;63;0;5;0;0;0;0;0;0;0;0;8;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"30";"GBP23020903M_ITS_P96";23;2;9;"03M";"#414487FF";"#C73E4CFF";"sample";"P96";35559;FALSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1762;0;0;0;0;0;0;1739;0;0;0;0;0;12392;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;136;6984
"31";"GBP23021101M_ITS_P96";23;2;11;"01M";"#414487FF";"#ED6925FF";"sample";"P96";6972;FALSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;942;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;0;0;0;0;0;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0;12;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;0;1871;64
"32";"GBP23021102M_ITS_P48";23;2;11;"02M";"#414487FF";"#ED6925FF";"sample";"P48";56418;FALSE;0;0;0;0;0;0;0;7;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;329;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;53419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;861;0;0;0;0;11;0;0
"33";"GBP23021103M_ITS_P96";23;2;11;"03M";"#414487FF";"#ED6925FF";"sample";"P96";919;FALSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"34";"GBP23021104M_ITS_P96";23;2;11;"04M";"#414487FF";"#ED6925FF";"sample";"P96";1756;FALSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0
