	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1057	Viridiplantae	Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Leptospermum	NA
ASV_1058	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Veronica	NA
ASV_1059	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Veronica	NA
ASV_1060	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus	NA
ASV_1061	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	NA	NA	NA
ASV_1062	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Taraxacum	NA
ASV_1063	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Myosotis	NA
ASV_1064	Viridiplantae	Streptophyta	Magnoliopsida	Geraniales	Geraniaceae	Geranium	NA
ASV_1065	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_1066	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_1067	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	NA
ASV_1068	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Tornabenea	NA
ASV_1069	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_1070	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	NA
ASV_1071	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium	NA
ASV_1072	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Lolium	NA
ASV_1073	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Symphytum	NA
ASV_1074	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Pulmonaria	NA
ASV_1075	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Orobanchaceae	Pedicularis	NA
ASV_1076	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Glandora	NA
ASV_1077	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Violaceae	Viola	NA
ASV_1078	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_1079	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_1080	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Betulaceae	Betula	kenaica
ASV_1081	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Coptidium	NA
ASV_1082	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Leontodon	saxatilis
ASV_1083	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	NA
ASV_1084	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	NA	NA
ASV_1085	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_1086	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Violaceae	Viola	NA
ASV_1087	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	NA
ASV_1088	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_1089	Viridiplantae	Streptophyta	Magnoliopsida	NA	NA	NA	NA
ASV_1090	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	NA	NA
ASV_1091	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium	NA
ASV_1092	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Holcus	NA
ASV_1093	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	NA	NA
ASV_1094	Viridiplantae	Streptophyta	Magnoliopsida	Geraniales	Geraniaceae	Erodium	NA
ASV_1095	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Symphytum	NA
ASV_1096	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Crepis	capillaris/nicaeensis
ASV_1097	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	NA
ASV_1098	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_1099	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	NA
ASV_1100	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium	NA
ASV_1101	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	NA
ASV_1102	Viridiplantae	Streptophyta	Magnoliopsida	Proteales	Platanaceae	Platanus	x
ASV_1103	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Fagaceae	Fagus	NA
ASV_1104	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Bellis	NA
ASV_1105	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Amaryllidaceae	Allium	NA
ASV_1106	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Daboecia	NA
ASV_1107	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rhamnaceae	Adolphia	NA
ASV_1108	Viridiplantae	Streptophyta	Magnoliopsida	NA	NA	NA	NA
ASV_1109	Viridiplantae	Streptophyta	Magnoliopsida	NA	NA	NA	NA
ASV_1110	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus	NA
ASV_1111	Viridiplantae	Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Leptospermum	NA
ASV_1112	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium	NA
ASV_1113	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium	NA
ASV_1114	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	NA
ASV_1115	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Helleborus	NA
ASV_1116	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Plantago	NA
ASV_1117	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Violaceae	Viola	NA
ASV_1118	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Ulex	NA
ASV_1119	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Rubus	NA
ASV_1120	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_1121	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	NA
ASV_1122	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Raphanus	raphanistrum/sativus
ASV_1123	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	NA
ASV_1124	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Taraxacum	NA
ASV_1125	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus	NA
ASV_1126	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	NA
ASV_1127	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	NA
ASV_1128	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Globularia	NA
ASV_1129	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Myosotis	NA
ASV_1130	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	NA	NA
ASV_1131	Viridiplantae	Streptophyta	Magnoliopsida	NA	NA	NA	NA
ASV_1132	Viridiplantae	Streptophyta	Magnoliopsida	NA	NA	NA	NA
ASV_1133	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
