	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1360	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Sapindales	f__Anacardiaceae	g__Schinus	s__terebinthifolia
ASV_1361	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Lotus	s__tenuis
ASV_1362	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Trifolium	s__uniflorum
ASV_1363	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pezizales_fam_Incertae_sedis	g__Boubovia	NA
ASV_1364	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Lotus	s__pedunculatus
ASV_1365	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Asterales	f__Asteraceae	NA	NA
ASV_1366	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fagales	f__Juglandaceae	g__Juglans	s__regia
ASV_1367	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Myrtales	f__Myrtaceae	g__Leptospermum	s__scoparium
ASV_1368	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Lamiaceae	g__Stachys	s__officinalis
ASV_1369	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Orobanchaceae	g__Melampyrum	s__pratense
ASV_1370	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__coprobium
ASV_1371	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fagales	f__Fagaceae	g__Fagus	s__sylvatica
ASV_1372	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Malpighiales	f__Violaceae	g__Viola	s__caspia
ASV_1373	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Malpighiales	f__Salicaceae	g__Salix	s__argyracea
ASV_1374	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Ericales	f__Ericaceae	NA	NA
ASV_1375	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Robinia	s__pseudoacacia
