"","Genus","Species","Count"
"365","Conium","aestivum/sp./turgidum",0
"366","Coptidium","aestivum/sp./turgidum",0
"367","Crataegus","aestivum/sp./turgidum",0
"368","Crepis","aestivum/sp./turgidum",0
"369","Cucumis","aestivum/sp./turgidum",0
"370","Daboecia","aestivum/sp./turgidum",0
"371","Dactylis","aestivum/sp./turgidum",0
"372","Digitalis","aestivum/sp./turgidum",0
"373","Dioscorea","aestivum/sp./turgidum",0
"374","Dracophyllum","aestivum/sp./turgidum",0
"375","Echium","aestivum/sp./turgidum",0
"376","Erica","aestivum/sp./turgidum",0
"377","Erucastrum","aestivum/sp./turgidum",0
"378","Eryngium","aestivum/sp./turgidum",0
"379","Erysimum","aestivum/sp./turgidum",0
"380","Erythronium","aestivum/sp./turgidum",0
"381","Eucalyptus","aestivum/sp./turgidum",0
"382","Fagus","aestivum/sp./turgidum",0
"383","Festuca","aestivum/sp./turgidum",0
"384","Fuscospora","aestivum/sp./turgidum",0
"385","Gaylussacia","aestivum/sp./turgidum",0
"386","Genista","aestivum/sp./turgidum",0
"387","Gentiana","aestivum/sp./turgidum",0
"388","Geranium","aestivum/sp./turgidum",0
"389","Gingidia","aestivum/sp./turgidum",0
"390","Glandora","aestivum/sp./turgidum",0
"391","Globularia","aestivum/sp./turgidum",0
"392","Glycine","aestivum/sp./turgidum",0
"393","Gossypium","aestivum/sp./turgidum",0
"394","Helianthemum","aestivum/sp./turgidum",0
"395","Helleborus","aestivum/sp./turgidum",0
"396","Heritiera","aestivum/sp./turgidum",0
"397","Hieracium","aestivum/sp./turgidum",0
"398","Hippocrepis","aestivum/sp./turgidum",0
"399","Holcus","aestivum/sp./turgidum",0
"400","Horkeliella","aestivum/sp./turgidum",0
"401","Hypericum","aestivum/sp./turgidum",0
"402","Hypochaeris","aestivum/sp./turgidum",0
"403","Iberis","aestivum/sp./turgidum",0
"404","Ilex","aestivum/sp./turgidum",0
"405","Jasione","aestivum/sp./turgidum",0
"406","Juglans","aestivum/sp./turgidum",0
"407","Lamium","aestivum/sp./turgidum",0
"408","Lathraea","aestivum/sp./turgidum",0
"409","Lathyrus","aestivum/sp./turgidum",0
"410","Leontodon","aestivum/sp./turgidum",0
"411","Leptospermum","aestivum/sp./turgidum",0
"412","Leucanthemum","aestivum/sp./turgidum",0
"413","Linaria","aestivum/sp./turgidum",0
"414","Linum","aestivum/sp./turgidum",0
"415","Liriodendron","aestivum/sp./turgidum",0
"416","Lithodora","aestivum/sp./turgidum",0
"417","Lolium","aestivum/sp./turgidum",0
"418","Lotus","aestivum/sp./turgidum",0
"419","Macadamia","aestivum/sp./turgidum",0
"420","Megalachne","aestivum/sp./turgidum",0
"421","Melampyrum","aestivum/sp./turgidum",0
"422","Molinia","aestivum/sp./turgidum",0
"423","Morus","aestivum/sp./turgidum",0
"424","Muehlenbeckia","aestivum/sp./turgidum",0
"425","Musa","aestivum/sp./turgidum",0
"426","Myosotis","aestivum/sp./turgidum",0
"427","Narcissus","aestivum/sp./turgidum",0
"428","Nuttallanthus","aestivum/sp./turgidum",0
"429","Olearia","aestivum/sp./turgidum",0
"430","Oxalis","aestivum/sp./turgidum",0
"431","Ozothamnus","aestivum/sp./turgidum",0
"432","Packera","aestivum/sp./turgidum",0
"433","Paederota","aestivum/sp./turgidum",0
"434","Parietaria","aestivum/sp./turgidum",0
"435","Pedicularis","aestivum/sp./turgidum",0
"436","Petroselinum","aestivum/sp./turgidum",0
"437","Picnomon","aestivum/sp./turgidum",0
"438","Pilosella","aestivum/sp./turgidum",0
"439","Pimelea","aestivum/sp./turgidum",0
"440","Pinguicula","aestivum/sp./turgidum",0
"441","Plantago","aestivum/sp./turgidum",0
"442","Platanus","aestivum/sp./turgidum",0
"443","Pleurophyllum","aestivum/sp./turgidum",0
"444","Pleuropterus","aestivum/sp./turgidum",0
"445","Poa","aestivum/sp./turgidum",0
"446","Polygala","aestivum/sp./turgidum",0
"447","Potentilla","aestivum/sp./turgidum",0
"448","Primula","aestivum/sp./turgidum",0
"449","Pritzelago","aestivum/sp./turgidum",0
"450","Prunella","aestivum/sp./turgidum",0
"451","Prunus","aestivum/sp./turgidum",0
"452","Pseudopanax","aestivum/sp./turgidum",0
"453","Pulmonaria","aestivum/sp./turgidum",0
"454","Quercus","aestivum/sp./turgidum",0
"455","Ranunculus","aestivum/sp./turgidum",0
"456","Raphanus","aestivum/sp./turgidum",0
"457","Rhinanthus","aestivum/sp./turgidum",0
"458","Robinia","aestivum/sp./turgidum",0
"459","Rosa","aestivum/sp./turgidum",0
"460","Rubus","aestivum/sp./turgidum",0
"461","Salix","aestivum/sp./turgidum",0
"462","Sambucus","aestivum/sp./turgidum",0
"463","Schinus","aestivum/sp./turgidum",0
"464","Scrophularia","aestivum/sp./turgidum",0
"465","Secale","aestivum/sp./turgidum",0
"466","Sideritis","aestivum/sp./turgidum",0
"467","Silybum","aestivum/sp./turgidum",0
"468","Sisymbrium","aestivum/sp./turgidum",0
"469","Smithiantha","aestivum/sp./turgidum",0
"470","Solanum","aestivum/sp./turgidum",0
"471","Spartina","aestivum/sp./turgidum",0
"472","Spondias","aestivum/sp./turgidum",0
"473","Stellaria","aestivum/sp./turgidum",0
"474","Styphelia","aestivum/sp./turgidum",0
"475","Symphytum","aestivum/sp./turgidum",0
"476","Taraxacum","aestivum/sp./turgidum",0
"477","Teucrium","aestivum/sp./turgidum",0
"478","Thymus","aestivum/sp./turgidum",0
"479","Tornabenea","aestivum/sp./turgidum",0
"480","Tragopogon","aestivum/sp./turgidum",0
"481","Trifolium","aestivum/sp./turgidum",0
"482","Tripleurospermum","aestivum/sp./turgidum",0
"484","Ulex","aestivum/sp./turgidum",0
"485","Urtica","aestivum/sp./turgidum",0
"486","Vaccinium","aestivum/sp./turgidum",0
"487","Veronica","aestivum/sp./turgidum",0
"488","Vicia","aestivum/sp./turgidum",0
"489","Viola","aestivum/sp./turgidum",0
"490","Abelmoschus","alba/mongolica/rubra",0
"491","Achillea","alba/mongolica/rubra",0
"492","Aciphylla","alba/mongolica/rubra",0
"493","Aconitum","alba/mongolica/rubra",0
"494","Actinidia","alba/mongolica/rubra",0
"495","Adolphia","alba/mongolica/rubra",0
"496","Aegilops","alba/mongolica/rubra",0
"497","Agrostis","alba/mongolica/rubra",0
"498","Ajuga","alba/mongolica/rubra",0
"499","Allium","alba/mongolica/rubra",0
"500","Alnus","alba/mongolica/rubra",0
"501","Anagallis","alba/mongolica/rubra",0
"502","Anaphalioides","alba/mongolica/rubra",0
"503","Anemone","alba/mongolica/rubra",0
